Country,Code,Year,Conversion as share of forest area
Algeria,DZA,1990,-0.5278944211157769
Algeria,DZA,2000,2.146928435718809
Algeria,DZA,2010,0.39624608967674657
Algeria,DZA,2015,-0.07157464212678938
Argentina,ARG,1990,-0.5186910578343371
Argentina,ARG,2000,-0.9479297741027024
Argentina,ARG,2010,-0.7393923346792878
Argentina,ARG,2015,-0.36017458844554423
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Australia,AUS,1990,-0.1544716175862064
Australia,AUS,2000,-0.1720605003561834
Australia,AUS,2010,0.5478204284034796
Austria,AUT,1990,0.16553353444554209
Austria,AUT,2000,0.06539625964659967
Austria,AUT,2010,0.09318699523710916
Austria,AUT,2015,0.09249740414666638
Azerbaijan,AZE,2010,0.879427403655241
Azerbaijan,AZE,2015,1.3136776479974759
Bahrain,BHR,1990,4.545454545454546
Bahrain,BHR,2000,2.702702702702702
Bahrain,BHR,2010,3.8461538461538463
Bahrain,BHR,2015,3.333333333333333
Bangladesh,BGD,1990,0
Bangladesh,BGD,2000,-0.16663802575598985
Bangladesh,BGD,2010,-0.05242699937511264
Bangladesh,BGD,2015,0
Belarus,BLR,2000,0.3156049800556026
Belarus,BLR,2010,0.23059096176129776
Belarus,BLR,2015,0.31065037354491226
Belgium,BEL,2010,-0.015945033122182456
Belgium,BEL,2015,0
Belize,BLZ,1990,-0.8793585120278995
Belize,BLZ,2000,-0.4652915781539094
Belize,BLZ,2010,-0.8416044387267408
Belize,BLZ,2015,-0.8373160868227756
Bhutan,BTN,1990,0.3961351886130083
Bhutan,BTN,2000,0.3810437452033768
Bhutan,BTN,2010,0.07318993527496127
Bhutan,BTN,2015,0.07292334209886639
Bolivia,BOL,1990,-0.4676607723383142
Bolivia,BOL,2000,-0.3657620978345556
Bolivia,BOL,2010,-0.3988998231360767
Bolivia,BOL,2015,-0.4587790775674733
Brazil,BRA,1990,-0.642036481699717
Brazil,BRA,2000,-0.7169065010599022
Brazil,BRA,2010,-0.30086748776879185
Brazil,BRA,2015,-0.2883674998729868
Bulgaria,BGR,1990,0.1442741208295762
Bulgaria,BGR,2000,1.0725925925925928
Bulgaria,BGR,2010,0.5137811078405138
Bulgaria,BGR,2015,0.31307070180015656
Burundi,BDI,1990,-2.9839409722222214
Burundi,BDI,2000,0
Burundi,BDI,2010,8.837784881922245
Burundi,BDI,2015,0
Cameroon,CMR,1990,-0.4011111111111111
Cameroon,CMR,2000,-0.3227226867566555
Cameroon,CMR,2010,-0.26793643016811103
Cameroon,CMR,2015,-0.27157466751501425
Canada,CAN,1990,-0.01352387623120752
Canada,CAN,2000,-0.013795206507887237
Canada,CAN,2010,-0.0118909758175269
Canada,CAN,2015,-0.010809075740190495
Cape Verde,CPV,2000,0.7552870090634447
Cape Verde,CPV,2010,0.7022471910112367
Cape Verde,CPV,2015,0.6784260515603803
Cayman Islands,CYM,1990,-0.15232292460015232
Cayman Islands,CYM,2000,-0.15467904098994587
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,-0.12929362582424686
Central African Republic,CAF,2000,-0.13098720691612453
Central African Republic,CAF,2010,-0.13272574437021634
Central African Republic,CAF,2015,-0.133612434863938
Chile,CHL,1990,0.37452323716634794
Chile,CHL,2000,0.5741901465885568
Chile,CHL,2010,1.0412992085025885
Chile,CHL,2015,0.6985646803151611
China,CHN,1990,1.2638364155308317
China,CHN,2000,1.333882860815969
China,CHN,2010,0.96543857800379
China,CHN,2015,0.9209904693066976
