Entity,Date,Seasonal variation,Combined measurements,Monthly averaged,Annual averaged,sea_temperature_anomaly,Sea surface temp (lower-bound),Sea surface temp (upper-bound),Monthly pH measurement,Annual average,Temperature anomaly,Church & White,University of Hawaii,Average,arctic_sea_ice_osisaf,Monthly averaged,Annual averaged,Monthly averaged,Annual averaged,Snow cover,Annual average,sea_ice_extent,ocean_heat_content_2000m,ocean_heat_content_700m
Antarctica,1992-01-01,,418.31036,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-01-31,,425.377,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-03-01,,433.552,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-04-01,,424.49683,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-05-01,,423.36273,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-05-31,,421.46194,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-07-01,,421.23618,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-07-31,,422.9604,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-08-30,,425.36377,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-09-30,,426.96298,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-10-30,,426.03226,,,,,,,,,,,,,,,,,,,,,
Antarctica,1992-11-29,,427.3198,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-01-01,,430.28207,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-01-31,,434.43738,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-03-02,,437.6219,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-04-02,,440.2916,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-05-02,,440.6307,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-06-01,,436.18,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-07-02,,429.99832,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-08-01,,421.4496,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-08-31,,412.14145,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-10-01,,400.74487,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-10-31,,390.60403,,,,,,,,,,,,,,,,,,,,,
Antarctica,1993-11-30,,381.58118,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-01-01,,371.88144,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-01-31,,359.91208,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-03-02,,349.7556,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-04-02,,339.2611,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-05-02,,329.46036,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-06-01,,320.13544,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-07-02,,310.19,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-08-01,,299.75995,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-08-31,,289.3716,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-10-01,,277.27222,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-10-31,,265.33597,,,,,,,,,,,,,,,,,,,,,
Antarctica,1994-11-30,,253.5327,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-01-01,,242.83913,,,,,,,,,,,,,,,,,,,,,
