Entity,Code,Year,Fossil fuels (TWh)
Africa,,1965,675.2018
Africa,,1966,704.2703
Africa,,1967,710.05896
Africa,,1968,744.59576
Africa,,1969,757.31635
Africa,,1970,811.33246
Africa,,1971,875.72296
Africa,,1972,919.6111
Africa,,1973,998.26605
Africa,,1974,1039.9032
Africa,,1975,1102.3899
Africa,,1976,1194.6407
Africa,,1977,1255.1279
Africa,,1978,1307.5515
Africa,,1979,1427.2644
Africa,,1980,1548.6256
Africa,,1981,1749.7827
Africa,,1982,1874.4413
Africa,,1983,1949.2256
Africa,,1984,2004.8369
Africa,,1985,2073.3328
Africa,,1986,2103.0835
Africa,,1987,2190.2642
Africa,,1988,2330.3965
Africa,,1989,2324.6475
Africa,,1990,2412.0632
Africa,,1991,2397.0688
Africa,,1992,2444.041
Africa,,1993,2460.2427
Africa,,1994,2540.244
Africa,,1995,2639.589
Africa,,1996,2702.619
Africa,,1997,2757.126
Africa,,1998,2791.3325
Africa,,1999,2874.499
Africa,,2000,2928.5469
Africa,,2001,3033.457
Africa,,2002,3061.847
Africa,,2003,3229.692
Africa,,2004,3473.607
Africa,,2005,3488.1865
Africa,,2006,3554.9573
Africa,,2007,3692.0054
Africa,,2008,3923.006
Africa,,2009,3988.2651
Africa,,2010,4097.2046
Africa,,2011,4125.8564
Africa,,2012,4303.6973
Africa,,2013,4412.8457
Africa,,2014,4520.241
Africa,,2015,4639.401
Africa,,2016,4765.635
Africa,,2017,4869.091
Africa,,2018,4965.162
Africa,,2019,5057.1323
Africa,,2020,4740.0205
Africa,,2021,5052.782
Africa,,2022,5058.223
Africa (EI),,1965,675.2018
Africa (EI),,1966,704.2703
Africa (EI),,1967,710.05896
Africa (EI),,1968,744.5957
Africa (EI),,1969,757.31635
Africa (EI),,1970,811.33246
Africa (EI),,1971,875.7229
Africa (EI),,1972,919.6111
Africa (EI),,1973,998.2662
Africa (EI),,1974,1039.9032
Africa (EI),,1975,1102.39
Africa (EI),,1976,1194.6409
Africa (EI),,1977,1255.1277
Africa (EI),,1978,1307.5515
Africa (EI),,1979,1427.2644
Africa (EI),,1980,1548.6256
Africa (EI),,1981,1749.7827
Africa (EI),,1982,1874.4413
Africa (EI),,1983,1949.2256
Africa (EI),,1984,2004.8369
Africa (EI),,1985,2073.3328
Africa (EI),,1986,2103.0835
Africa (EI),,1987,2190.2642
Africa (EI),,1988,2330.3965
Africa (EI),,1989,2324.6475
Africa (EI),,1990,2412.0635
Africa (EI),,1991,2397.0688
Africa (EI),,1992,2444.041
Africa (EI),,1993,2460.2427
Africa (EI),,1994,2540.244
Africa (EI),,1995,2639.5894
Africa (EI),,1996,2702.619
Africa (EI),,1997,2757.126
Africa (EI),,1998,2791.3323
Africa (EI),,1999,2874.499
Africa (EI),,2000,2928.5469
Africa (EI),,2001,3033.457
Africa (EI),,2002,3061.8467
Africa (EI),,2003,3229.692
Africa (EI),,2004,3473.607
Africa (EI),,2005,3488.187
Africa (EI),,2006,3554.9573
Africa (EI),,2007,3692.0054
Africa (EI),,2008,3923.006
Africa (EI),,2009,3988.2651
Africa (EI),,2010,4097.2046
Africa (EI),,2011,4125.8564
Africa (EI),,2012,4303.6973
Africa (EI),,2013,4412.8457
Africa (EI),,2014,4520.241
Africa (EI),,2015,4639.401
Africa (EI),,2016,4765.635
Africa (EI),,2017,4869.091
Africa (EI),,2018,4965.1616
Africa (EI),,2019,5057.1323
Africa (EI),,2020,4740.0205
Africa (EI),,2021,5052.782
Africa (EI),,2022,5058.2227
Algeria,DZA,1965,23.64985
Algeria,DZA,1966,28.782795
Algeria,DZA,1967,27.035038
Algeria,DZA,1968,28.680202
Algeria,DZA,1969,32.471718
Algeria,DZA,1970,35.043846
Algeria,DZA,1971,38.75704
Algeria,DZA,1972,43.18414
Algeria,DZA,1973,51.027023
Algeria,DZA,1974,57.43931
Algeria,DZA,1975,69.39979
Algeria,DZA,1976,80.95184
Algeria,DZA,1977,89.417175
Algeria,DZA,1978,112.62222
Algeria,DZA,1979,147.67972
Algeria,DZA,1980,176.383
Algeria,DZA,1981,214.10391
Algeria,DZA,1982,246.69571
Algeria,DZA,1983,270.27176
Algeria,DZA,1984,258.85962
Algeria,DZA,1985,260.38635
Algeria,DZA,1986,276.75128
Algeria,DZA,1987,283.69257
Algeria,DZA,1988,304.88068
Algeria,DZA,1989,296.4
Algeria,DZA,1990,314.57452
Algeria,DZA,1991,311.22867
Algeria,DZA,1992,319.63843
Algeria,DZA,1993,296.95114
Algeria,DZA,1994,301.43024
Algeria,DZA,1995,312.57413
Algeria,DZA,1996,309.5255
Algeria,DZA,1997,297.638
Algeria,DZA,1998,307.71323
Algeria,DZA,1999,310.83392
Algeria,DZA,2000,299.78595
Algeria,DZA,2001,310.61023
Algeria,DZA,2002,321.78415
Algeria,DZA,2003,336.15356
Algeria,DZA,2004,349.0545
Algeria,DZA,2005,364.68146
Algeria,DZA,2006,378.6009
Algeria,DZA,2007,399.00073
Algeria,DZA,2008,422.76166
Algeria,DZA,2009,447.9042
Algeria,DZA,2010,438.48944
Algeria,DZA,2011,463.3955
Algeria,DZA,2012,506.53198
Algeria,DZA,2013,536.629
Algeria,DZA,2014,584.9252
Algeria,DZA,2015,616.9203
Algeria,DZA,2016,616.0962
Algeria,DZA,2017,622.2538
Algeria,DZA,2018,667.6884
Algeria,DZA,2019,692.3007
Algeria,DZA,2020,646.94934
Algeria,DZA,2021,701.2793
Algeria,DZA,2022,682.8647
Argentina,ARG,1965,324.90497
Argentina,ARG,1966,335.50534
Argentina,ARG,1967,345.27478
Argentina,ARG,1968,356.41583
Argentina,ARG,1969,368.9387
Argentina,ARG,1970,348.70258
Argentina,ARG,1971,369.98138
Argentina,ARG,1972,374.7619
Argentina,ARG,1973,387.40292
Argentina,ARG,1974,394.37433
Argentina,ARG,1975,379.86398
Argentina,ARG,1976,400.39224
Argentina,ARG,1977,419.55673
Argentina,ARG,1978,410.7987
Argentina,ARG,1979,435.20178
Argentina,ARG,1980,420.29193
Argentina,ARG,1981,406.2725
Argentina,ARG,1982,408.81967
Argentina,ARG,1983,421.1438
Argentina,ARG,1984,415.02942
Argentina,ARG,1985,403.8037
Argentina,ARG,1986,430.09756
Argentina,ARG,1987,448.3592
Argentina,ARG,1988,478.7723
Argentina,ARG,1989,467.80923
Argentina,ARG,1990,439.55945
Argentina,ARG,1991,451.99594
Argentina,ARG,1992,482.13098
Argentina,ARG,1993,485.26276
Argentina,ARG,1994,504.39178
Argentina,ARG,1995,529.43555
Argentina,ARG,1996,568.77454
Argentina,ARG,1997,558.97894
Argentina,ARG,1998,588.23254
Argentina,ARG,1999,611.69336
Argentina,ARG,2000,595.41785
Argentina,ARG,2001,553.8556
Argentina,ARG,2002,531.8307
Argentina,ARG,2003,579.38666
Argentina,ARG,2004,632.2975
Argentina,ARG,2005,670.5161
Argentina,ARG,2006,697.75385
Argentina,ARG,2007,754.09106
Argentina,ARG,2008,765.599
Argentina,ARG,2009,730.0044
Argentina,ARG,2010,761.782
Argentina,ARG,2011,792.92834
Argentina,ARG,2012,830.8227
Argentina,ARG,2013,857.796
Argentina,ARG,2014,857.35706
Argentina,ARG,2015,870.1498
Argentina,ARG,2016,870.1937
Argentina,ARG,2017,867.003
Argentina,ARG,2018,855.35614
Argentina,ARG,2019,795.54553
Argentina,ARG,2020,737.5228
Argentina,ARG,2021,831.49274
Argentina,ARG,2022,854.01196
Asia,,1965,4932.0854
Asia,,1966,5368.8926
Asia,,1967,5672.6943
Asia,,1968,6107.9307
Asia,,1969,6985.9585
Asia,,1970,7955.136
Asia,,1971,8727.715
Asia,,1972,9286.971
Asia,,1973,10144.659
Asia,,1974,10292.33
Asia,,1975,10630.164
Asia,,1976,11241.317
Asia,,1977,12062.631
Asia,,1978,12835.682
Asia,,1979,13506.05
Asia,,1980,13440.79
Asia,,1981,13581.037
Asia,,1982,13843.374
Asia,,1983,14549.195
Asia,,1984,15719.047
Asia,,1985,18350.271
Asia,,1986,19139.432
Asia,,1987,20170.758
Asia,,1988,21590.46
Asia,,1989,22651.953
Asia,,1990,23514.73
Asia,,1991,24451.484
Asia,,1992,25606.646
Asia,,1993,26537.854
Asia,,1994,27968.14
Asia,,1995,29074.594
Asia,,1996,30419.504
Asia,,1997,31306.143
Asia,,1998,31205.275
Asia,,1999,32327.547
Asia,,2000,33615.695
Asia,,2001,34743.707
Asia,,2002,36539.996
Asia,,2003,39765.37
Asia,,2004,43381.96
Asia,,2005,46798.92
Asia,,2006,49443.902
Asia,,2007,52644.973
Asia,,2008,54172.832
Asia,,2009,55388.23
Asia,,2010,58715.59
Asia,,2011,62145.484
Asia,,2012,64340.32
Asia,,2013,65665.65
Asia,,2014,67035.43
Asia,,2015,67970.46
Asia,,2016,68762.79
Asia,,2017,70709.234
Asia,,2018,72799.266
Asia,,2019,74179.66
Asia,,2020,73060.92
Asia,,2021,76519.59
Asia,,2022,77566.51
Asia Pacific (EI),,1965,4769.41
Asia Pacific (EI),,1966,5196.7593
Asia Pacific (EI),,1967,5492.499
Asia Pacific (EI),,1968,5907.522
Asia Pacific (EI),,1969,6759.2617
