"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31037205920000","Genesee","Lenape Resources LLC","20592","00","00","GD","Bethany","AC","Steele & Neubarth 1 (6817)","Bethany","Medina","11","75","0","0","2022"
"31013014800000","Chautauqua","Harp, Stephen J.","01480","00","00","GD","Lakeshore","AC","Sullivan J.A. 2 2027-I","Pomfret","Medina","12","75","0","0","2022"
"31013233790000","Chautauqua","PPP Future Development Inc.","23379","00","00","GD","Lakeshore","AC","Russell J 2","Kiantone","Medina","12","4118","0","0","2022"
"31009255030000","Cattaraugus","PPP Future Development Inc.","25503","00","00","GW","New Field Wildcat","SI","Petri 1","Yorkshire","Theresa","12","237","0","0","2022"
"31029300070000","Erie","PPP Future Development Inc.","30007","00","00","GD","North Collins","AC","Guadagno Unit #1","North Collins","Medina","12","209","0","0","2022"
"31015231460000","Chemung","Repsol Oil & Gas USA, LLC","23146","00","00","GW","Cooper Hill","SI","Sekella 1","Van Etten","Black River","0","0","0","0","2022"
"31029187430000","Erie","Empire Energy E & P, LLC","18743","00","00","GD","Concord","AC","Greenburg 1","Concord","Medina","12","726","0","0","2022"
"31003300240000","Allegany","Sam Koehler Enterprises, Inc.","30024","00","00","OD","Fulmer Valley","AC","Andover Oil #1-4","Andover","Penny & Fulmer Valley","12","246","4","8","2022"
"31099195970000","Seneca","Minard Run Oil Company","19597","00","00","GD","Fayette-Waterloo","AC","Guilfoos 1 (4142)","Varick","Queenston","12","1763","0","0","2022"
"31009280820000","Cattaraugus","Vertical Energy, Inc.","28082","00","00","OD","Four Mile","AC","Mallery MLY 28","Olean","Bradford & Chipmunk","12","2","2","26","2022"
"31013240270000","Chautauqua","PPP Future Development Inc.","24027","00","00","GD","Lakeshore","AC","Brennan Farms #2","Hanover","Medina","12","555","0","0","2022"
"31003675430000","Allegany","Saint John Exploration & Production, Inc.","67543","00","00","OD","Richburg","IN","Big Four 10","Bolivar","Richburg","0","0","0","0","2022"
"31013147780000","Chautauqua","Empire Energy E & P, LLC","14778","00","00","GD","Lakeshore","AC","Baker,JJ 2","Chautauqua","Medina","12","359","0","0","2022"
"31003148580000","Allegany","Schiralli, Bradley L. and Paffie, Ronald","14858","00","00","OW","Richburg","AC","Hoyt 2","Bolivar","Richburg","10","9","5","12","2022"
"31009636380000","Cattaraugus","Stephan, Philip D.","63638","00","00","OD","Chipmunk","IN","Pfeiffer 17","Allegany","Bradford & Chipmunk","0","0","0","0","2022"
"31009139270000","Cattaraugus","Case Brothers Inc.","13927","00","00","OD","Bradford","AC","Moyer 04","Carrollton","Chipmunk","12","30","8","53","2022"
"31029200160000","Erie","Piall, Theresa","20016","00","00","GD","Lakeview","AC","Piall 2","Brant","Medina","12","50","0","0","2022"
"31003176580000","Allegany","The Richardson Petroleum Corporation","17658","00","00","OD","Beech Hill-Independence","AC","16 Heselton","Independence","Fulmer Valley","12","0","3","50","2022"
"31123205700000","Yates","PPP Future Development Inc.","20570","00","00","GD","North Penn Yan","AC","Fulkrod A 1","Benton","Queenston","12","848","0","0","2022"
"31009242400000","Cattaraugus","Pennhills Resources, LLC","24240","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-115","Allegany","Upper Devonian","12","240","4","65","2022"
"31013118120000","Chautauqua","Empire Energy E & P, LLC","11812","00","00","GD","Lakeshore","AC","Holmes 1287 1","Pomfret","Medina","12","1410","0","0","2022"
"31013181900000","Chautauqua","Empire Energy E & P, LLC","18190","00","00","GD","Lakeshore","AC","Barney 737a","Sherman","Medina","12","798","0","0","2022"
"31003662390000","Allegany","Estate of James D. Greene","66239","00","00","IW","Ford's Brook","IN","Fasssett w3","Alma","Richburg","0","0","0","0","2022"
"31009666060000","Cattaraugus","Mark T. Kellner Oil Co.","66606","00","00","OD","Bradford","AC","Kellner t4","Olean","Bradford Third","1","1","0","0","2022"
"31003697480000","Allegany","Ashe Oil Company","69748","00","00","OD","Richburg","IN","Central 62","Scio","Richburg","0","0","0","0","2022"
"31009180460000","Cattaraugus","Empire Energy E & P, LLC","18046","00","00","GD","Lakeshore","AC","Hebner D 3","Otto","Medina","12","364","0","0","2022"
"31003656920000","Allegany","Pine Oil Co.","65692","00","00","IW","Richburg","IN","Pine Oil 105","Genesee","Richburg","0","0","0","0","2022"
"31009240080000","Cattaraugus","Pennhills Resources, LLC","24008","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 2-11","Allegany","Bradford & Chipmunk","12","286","5","82","2022"
"31029148130000","Erie","Bunch, John","14813","00","00","GD","Alden-Lancaster","NR","Wilkinson","Lancaster","Medina","0","0","0","0","2022"
"31101230450000","Steuben","Nathan Petroleum Corporation","23045","00","00","OD","Beech Hill-Independence","AC","Edwards II 20","West Union","Fulmer Valley","12","548","3","24","2022"
"31009275980000","Cattaraugus","Blackhawk Energy, LLC","27598","00","00","OD","Bradford","AC","Young 99","Olean","Upper Devonian","0","0","0","0","2022"
"31009636520000","Cattaraugus","Stephan, Philip D.","63652","00","00","OD","Chipmunk","IN","Pfeiffer 31","Allegany","Chipmunk","0","0","0","0","2022"
"31037175820000","Genesee","United States Gypsum Company","17582","00","00","GD","Huron Creek","AC","Konfederath 2","Darien","Medina","11","2452","0","0","2022"
"31097230530100","Schuyler","Lone Wolf Operating, LLC","23053","01","00","GW","Watkins Glen","NR","WGI 1-A","Dix","Queenston","0","0","0","0","2022"
"31015239470000","Chemung","Repsol Oil & Gas USA, LLC","23947","00","00","GW","Steege Hill","AC","Gillis D 1","Southport","Black River","12","40669","168","0","2022"
"31003150570000","Allegany","SK Enterprises","15057","00","00","OD","Richburg","IN","Starr 2","Bolivar","Richburg","0","0","0","0","2022"
"31009600840000","Cattaraugus","Thomas A Miller Oil Co.","60084","00","00","OD","Not Applicable","IN","Mapes U7     ","Allegany","Not Applicable","0","0","0","0","2022"
"31029223020000","Erie","Empire Energy E & P, LLC","22302","00","00","GD","Brant-Eden","AC","Catalano L 1","Brant","Medina","12","954","0","0","2022"
"31003678180000","Allegany","Iron Dinosaur Oil","67818","00","00","OD","Browning","IN","Browning 23","Scio","Scio","0","0","0","0","2022"
"31011205080000","Cayuga","Minard Run Oil Company","20508","00","00","GD","West Auburn","AC","Staehr 802-4","Springport","Queenston","12","161","0","0","2022"
"31013117570000","Chautauqua","Libra Petroleum Company","11757","00","00","OD","Busti","AC","Crandall, E 11","Busti","Glade","12","0","1","2","2022"
"31003224930000","Allegany","PPP Future Development Inc.","22493","00","00","OD","Fulmer Valley","AC","Wormley, F 3","Andover","Fulmer Valley","12","46","0","0","2022"
"31013201520000","Chautauqua","PPP Future Development Inc.","20152","00","00","GD","Lakeshore","IN","Gertrude 1","Ellington","Medina","12","231","0","0","2022"
"31117050410000","Wayne","Norris, Robert E. III","05041","00","00","GW","Butler Creek","AC","Reed 1","Butler","Trenton","12","70","0","0","2022"
"31003639590000","Allegany","Saint John Exploration & Production, Inc.","63959","00","00","OD","Richburg","IN","Trio Farm 74","Bolivar","Richburg","0","0","0","0","2022"
"31013198980000","Chautauqua","Empire Energy E & P, LLC","19898","00","00","GD","Lakeshore","AC","Carlson, L 1","Poland","Medina","12","821","0","0","2022"
